executive_order_number,title,publication_date,signing_date,citation,document_number,executive_order_notes,html_url
12974,Continuance of Certain Federal Advisory Committees,10/03/1995,09/29/1995,60 FR 51875, 95-24754,"Continues certain committee established by: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, October 24, 1964; EO 11776, March 28, 1974; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12345, February 2, 1982; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12871, October 1, 1993; EO 12876, November 1, 1993; EO 12882, November 23, 1993; EO 12900, February 22, 1994; EO 12905, March 25, 1994;
;  Revokes in part: EO 12844, April 21, 1993;
;  Supersedes: EO 12869, September 30, 1993;
;  Revokes: EO 12878, November 5, 1993;
;  Superseded by: EO 13062, September 29, 1997;
;  See: EO 12887, December 23, 1993; EO 12912, April 29, 1994",https://www.federalregister.gov/articles/1995/10/03/95-24754/continuance-of-certain-federal-advisory-committees
12975,Protection of Human Research Subjects and Creation of National Bioethics Advisory Commission,10/05/1995,10/03/1995,60 FR 52063, 95-24921,"Amended by: EO 13018, September 16, 1996; EO 13046, May 16, 1997; EO 13137, September 15, 1999;
;  Revoked by: EO 13316, September 17, 2003",https://www.federalregister.gov/articles/1995/10/05/95-24921/protection-of-human-research-subjects-and-creation-of-national-bioethics-advisory-commission
12976,Compensation Practices of Government Corporations,10/10/1995,10/05/1995,60 FR 52829, 95-25256,"",https://www.federalregister.gov/articles/1995/10/10/95-25256/compensation-practices-of-government-corporations
12977,Interagency Security Committee,10/24/1995,10/19/1995,60 FR 54411, 95-26497,"Amends: EO 13286, February 28, 2003",https://www.federalregister.gov/articles/1995/10/24/95-26497/interagency-security-committee
12978,Blocking Assets and Prohibiting Transactions With Significant Narcotics Traffickers,10/24/1995,10/21/1995,60 FR 54579, 95-26569,"Amended by: EO 13286, February 28, 2003;
;  See: Notice of October 16, 1996; Notice of October 17, 1997; Notice of October 19, 1998; Notice of October 19, 1999; Notice of October 19, 2000; Notice of October 16, 2001; Notice of October 16, 2002; Notice of October 16, 2003; Notice of October 19, 2004; Notice of October 19, 2005; Notice of October 19, 2006; Notice of October 18, 2007; Notice of October 16, 2008; Notice of October 16, 2009",https://www.federalregister.gov/articles/1995/10/24/95-26569/blocking-assets-and-prohibiting-transactions-with-significant-narcotics-traffickers
12979,Agency Procurement Protests,10/27/1995,10/25/1995,60 FR 55171, 95-26944,"",https://www.federalregister.gov/articles/1995/10/27/95-26944/agency-procurement-protests
12980,"Further Amendment to Executive Order No. 12852, as Amended",11/21/1995,11/17/1995,60 FR 57819, 95-28630,"Amends: EO 12852, June 29, 1993;
;  Note: EO 12980 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",https://www.federalregister.gov/articles/1995/11/21/95-28630/further-amendment-to-executive-order-no-12852-as-amended
12981,Administration of Export Controls,12/08/1995,12/05/1995,60 FR 62981, 95-30106,"Amended by: EO 13020, October 12, 1996; EO 13026, November 15, 1996;
;  See: EO 11533, June 4, 1970; EO 12002, July 7, 1977; EO 12924, August 19, 1994; EO 13206, April 4, 2001",https://www.federalregister.gov/articles/1995/12/08/95-30106/administration-of-export-controls
12982,Ordering the Selected Reserve of the Armed Forces to Active Duty,12/12/1995,12/08/1995,60 FR 63895, 95-30451,"Amends: EO 13286, February 28, 2003;
;  See: Department of Defense notice of February 11, 1997 (62 FR 6953)",https://www.federalregister.gov/articles/1995/12/12/95-30451/ordering-the-selected-reserve-of-the-armed-forces-to-active-duty
12983,Amendment to Executive Order No. 12871,12/27/1995,12/21/1995,60 FR 66855, 95-31437,"Amends: EO 12871, October 1, 1993;
;  See: EO 13156, May 17, 2000; EO 13203, February 17, 2001",https://www.federalregister.gov/articles/1995/12/27/95-31437/amendment-to-executive-order-no-12871
12984,Adjustments of Certain Rates of Pay and Allowances,01/03/1996,12/28/1995,61 FR 237, 95-31595,"Amended by: EO 12990, February 29, 1996;
;  Superseded by: EO 13033, December 27, 1996",https://www.federalregister.gov/articles/1996/01/03/95-31595/adjustments-of-certain-rates-of-pay-and-allowances
12985,Establishing the Armed Forces Service Medal,01/18/1996,01/11/1996,61 FR 1209, 96-622,"Amended by: EO 13286, February 28, 2003;
;  See: EO 13154, May 3, 2000",https://www.federalregister.gov/articles/1996/01/18/96-622/establishing-the-armed-forces-service-medal
12986,International Union for Conservation of Nature and Natural Resources,01/22/1996,01/18/1996,61 FR 1693, 96-955,"",https://www.federalregister.gov/articles/1996/01/22/96-955/international-union-for-conservation-of-nature-and-natural-resources
12987,Amendment to Executive Order No. 12964,02/02/1996,01/31/1996,61 FR 4205, 96-2407,"Amends: EO 12964, June 21, 1995;
;  See: EO 13032, December 26, 1996;
;  Revoked by: EO 13062, September 29, 1997",https://www.federalregister.gov/articles/1996/02/02/96-2407/amendment-to-executive-order-no-12964
12988,Civil Justice Reform,02/09/1996,02/05/1996,61 FR 4729, 96-2755,"Revokes: EO 12778, October 23, 1991;
;  Supplemented by: EO 13083, May 14, 1998 (which was suspended by EO 13095, August 5, 1998); EO 13084, May 14, 1998; EO 13132, August 4, 1999;
;  See: EO 12866, September 30, 1993; EO 13175, November 6, 2000",https://www.federalregister.gov/articles/1996/02/09/96-2755/civil-justice-reform
12989,Economy and Efficiency in Government Procurement Through Compliance With Certain Immigration and Naturalization Act Provisions,02/15/1996,02/13/1996,61 FR 6091, 96-3646,"Amended by: EO 13286, February 28, 2003; EO 13466, June 26, 2008",https://www.federalregister.gov/articles/1996/02/15/96-3646/economy-and-efficiency-in-government-procurement-through-compliance-with-certain-immigration-and
12990,"Adjustments of Rates of Pay and Allowances for the Uniformed Services, Amendment to Executive Order No. 12984",03/05/1996,02/29/1996,61 FR 8467, 96-5263,"Amends: EO 12984, December 28, 1995;
;  Superseded by: EO 13033, December 27, 1996",https://www.federalregister.gov/articles/1996/03/05/96-5263/adjustments-of-rates-of-pay-and-allowances-for-the-uniformed-services-amendment-to-executive-order
12991,Adding the Small Business Administration to the President's Export Council,03/08/1996,03/06/1996,61 FR 9587, 96-5832,"Amends: EO 12131, May 4, 1979",https://www.federalregister.gov/articles/1996/03/08/96-5832/adding-the-small-business-administration-to-the-presidents-export-council
12992,President's Council on Counter-Narcotics,03/19/1996,03/15/1996,61 FR 11287, 96-6803,"Amended by: EO 13023, November 6, 1996; EO 13284, January 23, 2003",https://www.federalregister.gov/articles/1996/03/19/96-6803/presidents-council-on-counter-narcotics
12993,Administrative Allegations Against Inspectors General,03/26/1996,03/21/1996,61 FR 13043, 96-7460,"",https://www.federalregister.gov/articles/1996/03/26/96-7460/administrative-allegations-against-inspectors-general
12994,Continuing the President's Committee on Mental Retardation and Broadening Its Membership and Responsibilities,03/26/1996,03/21/1996,61 FR 13047, 96-7461,"Amended by: EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13309, July 25, 2003; EO 13385, September 29, 2005; EO 13446, September 28, 2007;
;  Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009;
;  See: EO 13585, September 30, 2011",https://www.federalregister.gov/articles/1996/03/26/96-7461/continuing-the-presidents-committee-on-mental-retardation-and-broadening-its-membership-and
12995,Amendment to Executive Order No. 12873,03/28/1996,03/25/1996,61 FR 13645, 96-7773,"Amends: EO 12873, October 20, 1993",https://www.federalregister.gov/articles/1996/03/28/96-7773/amendment-to-executive-order-no-12873
12996,Management and General Public Use of the National Wildlife Refuge System,03/28/1996,03/25/1996,61 FR 13647, 96-7774,"",https://www.federalregister.gov/articles/1996/03/28/96-7774/management-and-general-public-use-of-the-national-wildlife-refuge-system
12997,Korean Peninsula Energy Development Organization,04/04/1996,04/01/1996,61 FR 14949, 96-8520,"",https://www.federalregister.gov/articles/1996/04/04/96-8520/korean-peninsula-energy-development-organization
12998,Amendment to Executive Order No. 11880,04/09/1996,04/05/1996,61 FR 15873, 96-9033,"Amends: EO 11880, October 2, 1975;
;  Revoked by: EO 13242, December 18, 2001",https://www.federalregister.gov/articles/1996/04/09/96-9033/amendment-to-executive-order-no-11880
12999,Educational Technology: Ensuring Opportunity for All Children in the Next Century,04/19/1996,04/17/1996,61 FR 17227, 96-9866,"Supersedes: EO 12821, November 16, 1992",https://www.federalregister.gov/articles/1996/04/19/96-9866/educational-technology-ensuring-opportunity-for-all-children-in-the-next-century
13000,Order of Succession of Officers To Act as Secretary of Defense,04/26/1996,04/24/1996,61 FR 18483, 96-10550,"Revokes: EO 12787, December 31, 1991;
;  Revoked by: EO 13394, December 22, 2005",https://www.federalregister.gov/articles/1996/04/26/96-10550/order-of-succession-of-officers-to-act-as-secretary-of-defense
13001,Establishing an Emergency Board To Investigate a Dispute Between Certain Railroads Represented by the National Railway Labor Conference and Their Employees Represented by the Transportation Communications International Union,05/10/1996,05/08/1996,61 FR 21943, 96-11966,"",https://www.federalregister.gov/articles/1996/05/10/96-11966/establishing-an-emergency-board-to-investigate-a-dispute-between-certain-railroads-represented-by
13002,Termination of Combat Zone Designation in Vietnam and Waters Adjacent Thereto,05/16/1996,05/13/1996,61 FR 24665, 96-12535,"",https://www.federalregister.gov/articles/1996/05/16/96-12535/termination-of-combat-zone-designation-in-vietnam-and-waters-adjacent-thereto
13003,"Establishing an Emergency Board To Investigate Disputes Between Certain Railroads Represented by the National Carriers' Conference Committee of the National Railway Labor Conference and Their Employees Represented by the Brotherhood of Maintenance of Way Employes Disputes exist between certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference, including Consolidated Rail Corporation (including the Clearfield Cluster), Burlington Northern Railroad Co., CSX Transportation Inc., Norfolk Southern Railway Co., Atchison, Topeka and Santa Fe Railway Co., Union Pacific Railroad, Chicago & North Western Railway Co., Kansas City Southern Railway Co., and their employees represented by the Brotherhood of Maintenance of Way Employes. The railroads involved in these disputes are designated on the attached list, which is made a part of this order.",05/17/1996,05/15/1996,61 FR 25131, 96-12720,"",https://www.federalregister.gov/articles/1996/05/17/96-12720/establishing-an-emergency-board-to-investigate-disputes-between-certain-railroads-represented-by-the
13004,Establishing an Emergency Board To Investigate Disputes Between Certain Railroads Represented by the National Railway Labor Conference and Their- Employees Represented by Certain Labor Organizations,05/22/1996,05/17/1996,61 FR 25771, 96-13081,"",https://www.federalregister.gov/articles/1996/05/22/96-13081/establishing-an-emergency-board-to-investigate-disputes-between-certain-railroads-represented-by-the
13005,Empowerment Contracting,05/24/1996,05/21/1996,61 FR 26069, 96-13306,"",https://www.federalregister.gov/articles/1996/05/24/96-13306/empowerment-contracting
13006,Locating Federal Facilities on Historic Properties in Our Nation's Central Cities,05/24/1996,05/21/1996,61 FR 26071, 96-13305,"See: EO 11593, May 13, 1971; EO 12072, August 16, 1978",https://www.federalregister.gov/articles/1996/05/24/96-13305/locating-federal-facilities-on-historic-properties-in-our-nations-central-cities
13007,Indian Sacred Sites,05/29/1996,05/24/1996,61 FR 26771, 96-13597,"",https://www.federalregister.gov/articles/1996/05/29/96-13597/indian-sacred-sites
13008,Amending Executive Order No. 12880,06/05/1996,06/03/1996,61 FR 28721, 96-14372,"Amends: EO 12880, November 16, 1993",https://www.federalregister.gov/articles/1996/06/05/96-14372/amending-executive-order-no-12880
13009,Amendment to Executive Order No. 12963 Entitled Presidential Advisory Council on HIV/AIDS,06/18/1996,06/14/1996,61 FR 30799, 96-15656,"Amends: EO 12963, June 14, 1995",https://www.federalregister.gov/articles/1996/06/18/96-15656/amendment-to-executive-order-no-12963-entitled-presidential-advisory-council-on-hivaids
13010,Critical Infrastructure Protection,07/17/1996,07/15/1996,61 FR 37347, 96-18351,"Amended by: EO 13025, November 13, 1996; EO 13041, April 3, 1997; EO 13064, October 11, 1997; EO 13077, March 10, 1998;
;  See: EO 13130, July 14, 1999;
;  Revoked in part by: EO 13138, September 30, 1999 ",https://www.federalregister.gov/articles/1996/07/17/96-18351/critical-infrastructure-protection
13011,Federal Information Technology,07/19/1996,07/16/1996,61 FR 37657, 96-18555,"Amended by: EO 13284, January 23, 2003; EO 13286, February 28, 2003;
;  See: EO 13103, September 30, 1998;
;  Revoked by: EO 13403, May 12, 2006",https://www.federalregister.gov/articles/1996/07/19/96-18555/federal-information-technology
13012,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Their Employees Represented by the Brotherhood of Locomotive Engineers,07/23/1996,07/18/1996,61 FR 38051, 96-18846,"",https://www.federalregister.gov/articles/1996/07/23/96-18846/establishing-an-emergency-board-to-investigate-a-dispute-between-the-southeastern-pennsylvania
13013,"Amending Executive Order No. 10163, the Armed Forces Reserve Medal",08/09/1996,08/06/1996,61 FR 41483, 96-20531,"Amends: EO 10163, September 25, 1950 ",https://www.federalregister.gov/articles/1996/08/09/96-20531/amending-executive-order-no-10163-the-armed-forces-reserve-medal
13014,Maintaining Unofficial Relations With the People on Taiwan,08/19/1996,08/15/1996,61 FR 42963, 96-13014,"Supersedes: EO 12143, June 22, 1979",https://www.federalregister.gov/articles/1996/08/19/96-13014/maintaining-unofficial-relations-with-the-people-on-taiwan
13015,White House Commission on Aviation Safety and Security,08/27/1996,08/22/1996,61 FR 43937, 96-21996,"Revoked by: EO 13062, September 29, 1997",https://www.federalregister.gov/articles/1996/08/27/96-21996/white-house-commission-on-aviation-safety-and-security
13016,Amendment to Executive Order No. 12580,08/30/1996,08/28/1996,61 FR 45871, 96-22462,"Amends: EO 12580, January 23, 1987",https://www.federalregister.gov/articles/1996/08/30/96-22462/amendment-to-executive-order-no-12580
13017,Advisory Commission on Consumer Protection and Quality in the Health Care Industry,09/09/1996,09/05/1996,61 FR 47659, 96-23187,"Amended by: EO 13040, March 25, 1997; EO 13056, July 21, 1997;
;  Revoked by: EO 13138 September 30, 1999",https://www.federalregister.gov/articles/1996/09/09/96-23187/advisory-commission-on-consumer-protection-and-quality-in-the-health-care-industry
13018,Amending Executive Order No. 12975,09/18/1996,09/16/1996,61 FR 49045, 96-24048,"Amends: EO 12975, October 13, 1995;
;  See: EO 13316, September 17, 2003",https://www.federalregister.gov/articles/1996/09/18/96-24048/amending-executive-order-no-12975
13019,Supporting Families: Collecting Delinquent Child Support Obligations,10/03/1996,09/28/1996,61 FR 51763, 96-25577,"",https://www.federalregister.gov/articles/1996/10/03/96-25577/supporting-families-collecting-delinquent-child-support-obligations
13020,Amendment to Executive Order 12981,10/17/1996,10/12/1996,61 FR 54079, 96-26837,"Amends: EO 12981, December 5, 1995;
;  See: EO 12924, August 19, 1995",https://www.federalregister.gov/articles/1996/10/17/96-26837/amendment-to-executive-order-12981
13021,Tribal Colleges and Universities,10/23/1996,10/19/1996,61 FR 54929, 96-27352,"Amended by: EO 13104, October 19, 1998; EO 13138, September 30,1999; EO 13225, September 28, 2001;
;  Revoked by: EO 13270, July 3, 2002",https://www.federalregister.gov/articles/1996/10/23/96-27352/tribal-colleges-and-universities
13022,Administration of the Midway Islands,11/04/1996,10/31/1996,61 FR 56875, 96-28509,"Supersedes in part: EO 199-A, January 20, 1903; EO 8682, February 14, 1941; EO 8729, April 2, 1941; EO 11048, September 4, 1962;
;  See: EO 11593, May 13, 1971; EO 12996, March 25, 1996",https://www.federalregister.gov/articles/1996/11/04/96-28509/administration-of-the-midway-islands
13023,"Amendments to Executive Order 12992, Expanding and Changing the Name of the President's Council on Counter-Narcotics",11/08/1996,11/06/1996,61 FR 57767, 96-28938,"Amends: EO 12992, March 15, 1996",https://www.federalregister.gov/articles/1996/11/08/96-28938/amendments-to-executive-order-12992-expanding-and-changing-the-name-of-the-presidents-council-on
13024,"Amending Executive Order 12015, Relating to Competitive Appointments of Students Who Have Completed Approved Career-Related Work Study Programs",11/12/1996,11/07/1996,61 FR 58125, 96-29109,"Amends: EO 12015, October 26, 1977",https://www.federalregister.gov/articles/1996/11/12/96-29109/amending-executive-order-12015-relating-to-competitive-appointments-of-students-who-have-completed
13025,"Amendment to Executive Order 13010, the President's Commission on Critical Infrastructure Protection",11/18/1996,11/13/1996,61 FR 58623, 96-29597,"Amends: EO 13010, July 15, 1996;
;  Note: EO 13025 is nullified in part by virtue of the Advisory Committee of the President's Commission on Critical Infrastructure Protection being abolished by EO 13138, September 30, 1999.",https://www.federalregister.gov/articles/1996/11/18/96-29597/amendment-to-executive-order-13010-the-presidents-commission-on-critical-infrastructure-protection
13026,Administration of Export Controls on Encryption Products,11/19/1996,11/15/1996,61 FR 58767, 96-29692,"Amends: EO 12981, December 5, 1995;
;  See: EO 13206, April 4, 2001; EO 13222, August 17, 2001",https://www.federalregister.gov/articles/1996/11/19/96-29692/administration-of-export-controls-on-encryption-products
13027,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Its Employees Represented by the Brotherhood of Locomotive Engineers,11/20/1996,11/15/1996,61 FR 58971, 96-29815,"",https://www.federalregister.gov/articles/1996/11/20/96-29815/establishing-an-emergency-board-to-investigate-a-dispute-between-the-southeastern-pennsylvania
13028,Further Amendments to Executive Order No. 12757 Implementation of the Enterprise for the Americas Initiative,12/05/1996,12/03/1996,61 FR 64589, 96-31164,"Amends: EO 12757, March 19, 1991;
;  See: EO 12823, December 3, 1996; EO 13131, July 22, 1999;
;  Revoked by: EO 13345, July 8, 2004",https://www.federalregister.gov/articles/1996/12/05/96-31164/further-amendments-to-executive-order-no-12757-implementation-of-the-enterprise-for-the-americas
13029,"Implementing, for the United States, the Provisions of An- nex 1 of the Decision Concerning Legal Capacity and Privileges and Immunities, Issued by the Council of Ministers of the Conference on Security and Cooperation in Europe on December 1, 1993",12/05/1996,12/03/1996,61 FR 64592, 96-31165,"",https://www.federalregister.gov/articles/1996/12/05/96-31165/implementing-for-the-united-states-the-provisions-of-an--nex-1-of-the-decision-concerning-legal
13030,Administration of Foreign Assistance and Related Functions and Arms Export Controls,12/17/1996,12/12/1996,61 FR 66187, 96-32128,"Amends: EO 11958, January 18, 1977; EO 12163, September 29, 1979; EO 12884, December 1, 1993",https://www.federalregister.gov/articles/1996/12/17/96-32128/administration-of-foreign-assistance-and-related-functions-and-arms-export-controls
13031,Federal Alternative Fueled Vehicle Leadership,12/17/1996,12/13/1996,61 FR 66529, 96-32195,"Suspersedes: EO 12844, April 21, 1993;
;  Revoked by: EO 13149, April 21, 2000;
;  See: EO 13101, September 14, 1998",https://www.federalregister.gov/articles/1996/12/17/96-32195/federal-alternative-fueled-vehicle-leadership
13032,Further Amendment to Executive Order No. 12964,12/30/1996,12/26/1996,61 FR 68985, 96-33336,"Amends: EO 12964, June 21, 1995;
;  Revoked by: EO 13062, September 29, 1997",https://www.federalregister.gov/articles/1996/12/30/96-33336/further-amendment-to-executive-order-no-12964
13033,"Executive Order 13033 of December 27, 1996",12/31/1996,12/27/1996,61 FR 68987, 96-33384,"Amends: EO 12961, May 26, 1995;
;  Note: EO 13034 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",https://www.federalregister.gov/articles/1996/12/31/96-33384/executive-order-13033-of-december-27-1996
13034,Extension of Presidential Advisory Committee on Gulf War Veterans' Illnesses,02/03/1997,01/30/1997,62 FR 5137, 97-2818,"",https://www.federalregister.gov/articles/1997/02/03/97-2818/extension-of-presidential-advisory-committee-on-gulf-war-veterans-illnesses
13035,"Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet",02/14/1997,02/11/1997,62 FR 7131, 97-3992,"Amended by: EO 13092, July 24, 1998; EO 13113, February 10, 1999; EO 13200, February 11, 2001; EO 13215, May 31, 2001; EO 13305, May 28, 2003;
;  See: Public Law 105-305, October 28, 1998 (112 Stat. 2919)",https://www.federalregister.gov/articles/1997/02/14/97-3992/advisory-committee-on-high-performance-computing-and-communications-information-technology-and-the
13036,Establishing an Emergency Board To Investigate a Dispute Between American Airlines and its Employees Represented by the Allied Pilots Association,02/19/1997,02/15/1997,62 FR 7653, 97-4302,"",https://www.federalregister.gov/articles/1997/02/19/97-4302/establishing-an-emergency-board-to-investigate-a-dispute-between-american-airlines-and-its-employees
13037,Commission To Study Capital Budgeting,03/06/1997,03/03/1997,62 FR 10185, 97-5728,"Amended by: EO 13066, October 29, 1997; EO 13108, December 11, 1998;
;  Revoked by: EO 13138, September 30, 1999",https://www.federalregister.gov/articles/1997/03/06/97-5728/commission-to-study-capital-budgeting
13038,Advisory Committee on Public Interest Obligations of Digital Television Broadcasters,03/13/1997,03/11/1997,62 FR 12065, 97-6571,"Amended by: EO 13062, September 29, 1997; EO 13065, October 22, 1997; EO 13081, April 30, 1998; EO 13102, September 25, 1998;
;  Revoked by: EO 13138, September 30, 1999",https://www.federalregister.gov/articles/1997/03/13/97-6571/advisory-committee-on-public-interest-obligations-of-digital-television-broadcasters
13039,Exclusion of the Naval Special Warfare Development Group From the Federal Labor-Management Relations Program,03/14/1997,03/11/1997,62 FR 12529, 97-6703,"Amends: EO 12171, November 19, 1979",https://www.federalregister.gov/articles/1997/03/14/97-6703/exclusion-of-the-naval-special-warfare-development-group-from-the-federal-labor-management-relations
13040,"Amendment to Executive Order 13017, Advisory Commission on Consumer Protection and Quality in the Health Care Industry",03/28/1997,03/25/1997,62 FR 14773, 97-8123,"Amends: EO 13017, September 5, 1996;
;  Note: EO 13040 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999.",https://www.federalregister.gov/articles/1997/03/28/97-8123/amendment-to-executive-order-13017-advisory-commission-on-consumer-protection-and-quality-in-the
13041,"Further Amendment to Executive Order 13010, as Amended",04/08/1997,04/03/1997,62 FR 17039, 97-9200,"Amends: EO 13010, July 15, 1996;
;  Note: EO 13041 is nullified in part by virtue of the Committee being abolished by EO 13138, September 30, 1999.",https://www.federalregister.gov/articles/1997/04/08/97-9200/further-amendment-to-executive-order-13010-as-amended
13042,Implementing for the United States Article VIII of the Agreement Establishing the World Trade Organization Concerning Legal Capacity and Privileges and Immunities,04/14/1997,04/09/1997,62 FR 18017, 97-9700,"",https://www.federalregister.gov/articles/1997/04/14/97-9700/implementing-for-the-united-states-article-viii-of-the-agreement-establishing-the-world-trade
13043,Increasing Seat Belt Use in the United States,04/18/1997,04/16/1997,62 FR 19217, 97-10331,"",https://www.federalregister.gov/articles/1997/04/18/97-10331/increasing-seat-belt-use-in-the-united-states
13044,"Amending Executive Order 12752, Implementation of the Agricultural Trade Development and Assistance Act of 1954, as Amended, and the Food for Progress Act of 1985, as Amended",04/22/1997,04/18/1997,62 FR 19665, 97-10605,"Amends: EO 12752, February 25, 1991",https://www.federalregister.gov/articles/1997/04/22/97-10605/amending-executive-order-12752-implementation-of-the-agricultural-trade-development-and-assistance
13045,Protection of Children From Environmental Health Risks and Safety Risks,04/23/1997,04/21/1997,62 FR 19885, 97-10695,"Amended by: EO 13229, October 9, 2001; EO 13296, April 18, 2003",https://www.federalregister.gov/articles/1997/04/23/97-10695/protection-of-children-from-environmental-health-risks-and-safety-risks
13046,"Further Amendment to Executive Order 12975 of May 16, 1997, Extension of the National Bioethics Advisory Commission",05/20/1997,05/16/1997,62 FR 27685, 97-13450,"Amends: EO 12975, October 3, 1995;
;  See: EO 13316, September 17, 2003",https://www.federalregister.gov/articles/1997/05/20/97-13450/further-amendment-to-executive-order-12975-of-may-16-1997-extension-of-the-national-bioethics
13047,Prohibiting New Investment in Burma,05/22/1997,05/20/1997,62 FR 28301, 97-13704,"Amended by: EO 13310, July 28, 2003;
;  See: EO 13448, October 18, 2007; EO 13464, April 30, 2008; Notice of May 18, 1998; Notice of May 16, 2003; Notice of May 17, 2004; Notice of May 17, 2005; Notice of May 18, 2006; Notice of May 17, 2007; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010;  EO 13619, July 21, 2012",https://www.federalregister.gov/articles/1997/05/22/97-13704/prohibiting-new-investment-in-burma
13048,Improving Administrative Management in the Executive Branch,06/13/1997,06/10/1997,62 FR 32467, 97-15828,"Amended by: EO 13284, January 23, 2003;
;  Revokes: EO 12552, February 25, 1986; EO 12637, April 27, 1988; EO 12816, October 14, 1992",https://www.federalregister.gov/articles/1997/06/13/97-15828/improving-administrative-management-in-the-executive-branch
13049,Organization for the Prohibition of Chemical Weapons,06/16/1997,06/11/1997,62 FR 32471, 97-15879,"",https://www.federalregister.gov/articles/1997/06/16/97-15879/organization-for-the-prohibition-of-chemical-weapons
13050,President's Advisory Board on Race,06/17/1997,06/13/1997,62 FR 32987, 97-16080,"",https://www.federalregister.gov/articles/1997/06/17/97-16080/presidents-advisory-board-on-race
13051,Internal Revenue Service Management Board,06/26/1997,06/24/1997,62 FR 34609, 97-16957,"",https://www.federalregister.gov/articles/1997/06/26/97-16957/internal-revenue-service-management-board
13052,Hong Kong Economic and Trade Offices,07/02/1997,06/30/1997,62 FR 35659, 97-17512,"",https://www.federalregister.gov/articles/1997/07/02/97-17512/hong-kong-economic-and-trade-offices
13053,Adding Members to and Extending the President's Council on Sustainable Development,07/02/1997,06/30/1997,62 FR 35945, 97-17566,"Amends: EO 12852, June 29, 1993;
;  Note: EO 13053 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",https://www.federalregister.gov/articles/1997/07/02/97-17566/adding-members-to-and-extending-the-presidents-council-on-sustainable-development
13054,Eligibility of Certain Overseas Employees for Noncompetitive Appointments,07/10/1997,07/07/1997,62 FR 36965, 97-18288,"Amended by: EO 13062, September 29, 1997",https://www.federalregister.gov/articles/1997/07/10/97-18288/eligibility-of-certain-overseas-employees-for-noncompetitive-appointments
13055,Coordination of United States Government International Exchanges and Training Programs,07/21/1997,07/15/1997,62 FR 39099, 97-19341,"",https://www.federalregister.gov/articles/1997/07/21/97-19341/coordination-of-united-states-government-international-exchanges-and-training-programs
13056,"Further Amendment to Executive Order 13017, Advisory Commission on Consumer Protection and Quality in the Health Care Industry",07/23/1997,07/21/1997,62 FR 39415, 97-19562,"Amends: EO 13017, September 5, 1996;
;  Note: EO 13056 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999.",https://www.federalregister.gov/articles/1997/07/23/97-19562/further-amendment-to-executive-order-13017-advisory-commission-on-consumer-protection-and-quality-in
13057,Federal Actions in the Lake Tahoe Region,08/01/1997,07/26/1997,62 FR 41249, 97-20497,"",https://www.federalregister.gov/articles/1997/08/01/97-20497/federal-actions-in-the-lake-tahoe-region
13058,Protecting Federal Employees and the Public From Exposure to Tobacco Smoke in the Federal Workplace,08/13/1997,08/09/1997,62 FR 43451, 97-21607,"",https://www.federalregister.gov/articles/1997/08/13/97-21607/protecting-federal-employees-and-the-public-from-exposure-to-tobacco-smoke-in-the-federal-workplace
13059,Prohibiting Certain Transactions With Respect to Iran,08/21/1997,08/19/1997,62 FR 44531, 97-22482,"Revokes in part: EO 12613, October 29, 1987; EO 12957, March 15, 1995; EO 12959, May 6, 1995;
;  See: Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010; EO 13628, October 9, 2012",https://www.federalregister.gov/articles/1997/08/21/97-22482/prohibiting-certain-transactions-with-respect-to-iran
13060,Establishing an Emergency Board To Investigate Disputes Between Amtrak and its Employees Represented by the Brotherhood of Maintenance of Way Employes,08/25/1997,08/21/1997,62 FR 45139, 97-22703,"",https://www.federalregister.gov/articles/1997/08/25/97-22703/establishing-an-emergency-board-to-investigate-disputes-between-amtrak-and-its-employees-represented
13061,Federal Support of Community Efforts Along American Heritage Rivers,09/15/1997,09/11/1997,62 FR 48445, 97-24591,"Amended by: EO 13093, July 27, 1998",https://www.federalregister.gov/articles/1997/09/15/97-24591/federal-support-of-community-efforts-along-american-heritage-rivers
