executive_order_number,title,publication_date,signing_date,citation,document_number,executive_order_notes,html_url,
13591,Continuance of Certain Federal Advisory Committees,11/30/11,11/23/11,76 FR 74621, 2011-30990,"Amends: EO 13530, January 29, 2010;
;  See: EO 13521, November 24, 2009; EO 13522, December 9, 2009; EO 13532, February 26, 2010; EO 13538, April 22, 2010; EO 13539, April 21, 2011; EO 13540, April 26, 2010; EO 13549, August 18, 2010; EO 13544, June 10, 2010; EO 13631, December 7, 2012",https://www.federalregister.gov/articles/2011/11/30/2011-30990/continuance-of-certain-federal-advisory-committees,
13592,Improving American Indian and Alaska Native Educational Opportunities and Strengthening Tribal Colleges and Universities,12/8/11,12/2/11,76 FR 76603, 2011-31624,"Revokes: EO 13270, July 3, 2002; EO 13336, April 30, 2004; EO 13585, September 30, 2011",https://www.federalregister.gov/articles/2011/12/08/2011-31624/improving-american-indian-and-alaska-native-educational-opportunities-and-strengthening-tribal,
13594,Adjustments of Certain Rates of Pay,12/23/11,12/19/11,76 FR 80191, 2011-33087,"Supersedes: EO 13561, December 22, 2010",https://www.federalregister.gov/articles/2011/12/23/2011-33087/adjustments-of-certain-rates-of-pay,
13595,"Instituting a National Action Plan On Women, Peace, And Security",12/23/11,12/19/11,76 FR 80205, 2011-33089,,https://www.federalregister.gov/articles/2011/12/23/2011-33089/instituting-a-national-action-plan-on-women-peace-and-security,
13596,Amendments to Executive Orders 12131 and 13539,12/27/11,12/19/11,76 FR 80725, 2011-33335,"Amends: EO 12131, May 4, 1979; EO 13539, April 21, 2010",https://www.federalregister.gov/articles/2011/12/27/2011-33335/amendments-to-executive-orders-12131-and-13539,
13597,Establishing Visa and Foreign Visitor Processing Goals and the Task Force On Travel and Competitiveness,1/24/12,1/19/12,77 FR 3373, 2012-1568,,https://www.federalregister.gov/articles/2012/01/24/2012-1568/establishing-visa-and-foreign-visitor-processing-goals-and-the-task-force-on-travel-and,
13598,Assignment of Functions Relating to Certain Promotion and Appointment Actions in the Armed Forces,2/2/12,1/27/12,77 FR 5369, 2012-2557,,https://www.federalregister.gov/articles/2012/02/02/2012-2557/assignment-of-functions-relating-to-certain-promotion-and-appointment-actions-in-the-armed-forces,
13599,Blocking Property of the Government of Iran and Iranian Financial Institutions,2/8/12,2/5/12,77 FR 6657, 2012-3097,"See: EO 12957, March 15, 1995; EO 12170, November 14, 1979; EO 12281, January 19, 1981; EO 13628, October 9, 2012",https://www.federalregister.gov/articles/2012/02/08/2012-3097/blocking-property-of-the-government-of-iran-and-iranian-financial-institutions,
13600,Establishing the President's Global Development Council,2/14/12,2/9/12,77 FR 8711, 2012-3616,,https://www.federalregister.gov/articles/2012/02/14/2012-3616/establishing-the-presidents-global-development-council,
13601,Establishment of the Interagency Trade Enforcement Center,3/5/12,2/28/12,77 FR 12981, 2012-5366,,https://www.federalregister.gov/articles/2012/03/05/2012-5366/establishment-of-the-interagency-trade-enforcement-center,
13602,"Establishing a White House Council on Strong Cities, Strong Communities",3/20/12,3/15/12,77 FR 16131, 2012-6797,,https://www.federalregister.gov/articles/2012/03/20/2012-6797/establishing-a-white-house-council-on-strong-cities-strong-communities,
13603,National Defense Resources Preparedness,3/22/12,3/16/12,77 FR 16651, 2012-7019,"See: EO 11858, May 7, 1975; EO 12472, April 3, 1984; EO 12656, November 18, 1988",https://www.federalregister.gov/articles/2012/03/22/2012-7019/national-defense-resources-preparedness,
13604,Improving Performance of Federal Permitting and Review of Infrastructure Projects,3/28/12,3/22/12,77 FR 18885, 2012-7636,"See: EO 13563, January 18, 2011; EO 13580, July 12, 2011; EO 13616, June 14, 2012",https://www.federalregister.gov/articles/2012/03/28/2012-7636/improving-performance-of-federal-permitting-and-review-of-infrastructure-projects,
13605,Supporting Safe and Responsible Development of Unconventional Domestic Natural Gas Resources,4/17/12,4/13/12,77 FR 23105, 2012-9473,,https://www.federalregister.gov/articles/2012/04/17/2012-9473/supporting-safe-and-responsible-development-of-unconventional-domestic-natural-gas-resources,
13606,Blocking the Property and Suspending Entry Into the United States of Certain Persons With Respect to Grave Human Rights Abuses by the Governments of Iran and Syria via Information Technology,4/24/12,4/22/12,77 FR 24569, 2012-10034,"See: EO 12957, March 15, 1995; EO 13338, May 11, 2004",https://www.federalregister.gov/articles/2012/04/24/2012-10034/blocking-the-property-and-suspending-entry-into-the-united-states-of-certain-persons-with-respect-to,
13607,"Establishing Principles of Excellence for Educational Institutions Serving Service Members, Veterans, Spouses, and Other Family Members",5/2/12,4/27/12,77 FR 25861, 2012-10715,,https://www.federalregister.gov/articles/2012/05/02/2012-10715/establishing-principles-of-excellence-for-educational-institutions-serving-service-members-veterans,
13608,Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria,5/3/12,5/1/12,77 FR 26407, 2012-10884,"See: EO 12938, November 4, 1994; EO 12957, March 15, 1995; EO 13224, September 23, 2001; EO 13338, May 1, 2004",https://www.federalregister.gov/articles/2012/05/03/2012-10884/prohibiting-certain-transactions-with-and-suspending-entry-into-the-united-states-of-foreign,
13609,Promoting International Regulatory Cooperation,5/4/12,5/1/12,77 FR 26413, 2012-10968,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011",https://www.federalregister.gov/articles/2012/05/04/2012-10968/promoting-international-regulatory-cooperation,
13610,Identifying and Reducing Regulatory Burdens,5/14/12,5/10/12,77 FR 28467, 2012-11798,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011",https://www.federalregister.gov/articles/2012/05/14/2012-11798/identifying-and-reducing-regulatory-burdens,
13611,"Blocking Property of Persons Threatening the Peace, Security, or Stability of Yemen",5/18/12,5/16/12,77 FR 29533, 2012-12225,,https://www.federalregister.gov/articles/2012/05/18/2012-12225/blocking-property-of-persons-threatening-the-peace-security-or-stability-of-yemen,
13612,Providing an Order of Succession Within the Department of Agriculture,5/24/12,5/21/12,77 FR 31153, 2012-12881,"Revokes: EO 13542, May 13, 2010",https://www.federalregister.gov/articles/2012/05/24/2012-12881/providing-an-order-of-succession-within-the-department-of-agriculture,
13613,Providing an Order of Succession Within the Department of Commerce,5/24/12,5/21/12,77 FR 31155, 2012-12882,"Revokes: EO 13242, December 18, 2001",https://www.federalregister.gov/articles/2012/05/24/2012-12882/providing-an-order-of-succession-within-the-department-of-commerce,
13614,Providing an Order of Succession Within the Environmental Protection Agency,5/24/12,5/21/12,77 FR 31157, 2012-12883,"Revokes: EO 13261, March 19, 2002; EO 13344, July 7, 2004",https://www.federalregister.gov/articles/2012/05/24/2012-12883/providing-an-order-of-succession-within-the-environmental-protection-agency,
13615,Providing an Order of Succession Within the Office of Management and Budget,5/24/12,5/21/12,77 FR 31159, 2012-12889,"Revokes: EO 13370, January 13, 2005",https://www.federalregister.gov/articles/2012/05/24/2012-12889/providing-an-order-of-succession-within-the-office-of-management-and-budget,
13616,Accelerating Broadband Infrastructure Deployment,6/20/12,6/14/12,77 FR 36903, 2012-15183,"See: EO 13604, March 2, 2012",https://www.federalregister.gov/articles/2012/06/20/2012-15183/accelerating-broadband-infrastructure-deployment,
13617,Blocking Property of the Government of the Russian Federation Relating to the Disposition of Highly Enriched Uranium Extracted From Nuclear Weapons,6/27/12,6/25/12,77 FR 38457, 2012-15954,"See: EO 12938, November 14, 1994; EO 13085, May 26, 1998; EO 13159, June 21, 2000",https://www.federalregister.gov/articles/2012/06/27/2012-15954/blocking-property-of-the-government-of-the-russian-federation-relating-to-the-disposition-of-highly,
13618,Assignment of National Security and Emergency Preparedness Communications Functions,7/11/12,7/6/12,77 FR 40779, 2012-17022,"Revokes: EO 12472, April 3, 1984;
;  Amends: EO 12382, September 13, 1982;
;  See: EO 12333, December 4, 1981; EO 13526, December 29, 2009",https://www.federalregister.gov/articles/2012/07/11/2012-17022/assignment-of-national-security-and-emergency-preparedness-communications-functions,
13619,"Blocking Property of Persons Threatening the Peace, Security, or Stability of Burma",7/13/12,7/11/12,77 FR 41243, 2012-17264,"Amends: EO 13448, October 18, 2007; EO 13464, April 30, 2008
; See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13448, October 18, 2007; EO 13464, April 30, 2008
",https://www.federalregister.gov/articles/2012/07/13/2012-17264/blocking-property-of-persons-threatening-the-peace-security-or-stability-of-burma,
13620,Taking Additional Steps to Address the National Emergency With Respect to Somalia,7/24/12,7/20/12,77 FR 43481, 2012-18237,"See: EO 13536, April 12, 2010",https://www.federalregister.gov/articles/2012/07/24/2012-18237/taking-additional-steps-to-address-the-national-emergency-with-respect-to-somalia,
13621,White House Initiative on Educational Excellence for African Americans,8/1/12,7/26/12,77 FR 45471, 2012-18868,"See: EO 13532, February 26, 2010",https://www.federalregister.gov/articles/2012/08/01/2012-18868/white-house-initiative-on-educational-excellence-for-african-americans,
13622,Authorizing Additional Sanctions With Respect to Iran,8/2/12,7/30/12,77 FR 45897, 2012-19055,"Amended by: EO 13628, October 9, 2012
; See: EO 12957, March 15, 1995; EO 13628, October 9, 2012",https://www.federalregister.gov/articles/2012/08/02/2012-19055/authorizing-additional-sanctions-with-respect-to-iran,
13623,Preventing and Responding to Violence Against Women and Girls Globally,8/16/12,8/10/12,77 FR 49345, 2012-20259,,https://www.federalregister.gov/articles/2012/08/16/2012-20259/preventing-and-responding-to-violence-against-women-and-girls-globally,
13624,Accelerating Investment in Industrial Energy Efficiency,9/5/12,8/30/12,77 FR 54777, 2012-22030,,https://www.federalregister.gov/articles/2012/09/05/2012-22030/accelerating-investment-in-industrial-energy-efficiency,
13625,"Improving Access to Mental Health Services for Veterans, Service Members, and Military Families",9/5/12,8/31/12,77 FR 54783, 2012-22062,,https://www.federalregister.gov/articles/2012/09/05/2012-22062/improving-access-to-mental-health-services-for-veterans-service-members-and-military-families,
13626,Gulf Coast Ecosystem Restoration,9/13/12,9/10/12,77 FR 56749, 2012-22807,"See: EO 12777, October 18,1991; EO 13554, October 5, 2010",https://www.federalregister.gov/articles/2012/09/13/2012-22807/gulf-coast-ecosystem-restoration,
13627,Strengthening Protections Against Trafficking in Persons in Federal Contracts,10/2/12,9/25/12,77 FR 60029, 2012-24374,,https://www.federalregister.gov/articles/2012/10/02/2012-24374/strengthening-protections-against-trafficking-in-persons-in-federal-contracts,
13628,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Threat Reduction and Syria Human Rights Act of 2012 and Additional Sanctions With Respect to Iran,10/12/12,10/9/12,77 FR 62139, 2012-25236,"Amends: EO 13622, July 30, 2012
; See: EO 12957, March 15, 1995; EO 12959, May 6, 1995; EO 13059, August 19, 1997; EO 13599, February 5, 2012; EO 13622, July 30, 2012",https://www.federalregister.gov/articles/2012/10/12/2012-25236/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-threat-reduction-and-syria,
13629,Establishing the White House Homeland Security Partnership Council,11/2/12,10/26/12,77 FR 66351, 2012-27002,,https://www.federalregister.gov/articles/2012/11/02/2012-27002/establishing-the-white-house-homeland-security-partnership-council,
13630,Establishment of an Interagency Task Force on Commercial Advocacy,12/11/12,12/6/12,77 FR 73893, 2012-30060,"See: EO 13534, March 11, 2010",https://www.federalregister.gov/articles/2012/12/11/2012-30060/establishment-of-an-interagency-task-force-on-commercial-advocacy,
13631,Reestablishment of Advisory Group,12/12/12,12/7/12,77 FR 74099, 2012-30170,"See: EO 13544, June 10, 2010; EO 13591, November 23, 2011",https://www.federalregister.gov/articles/2012/12/12/2012-30170/reestablishment-of-advisory-group,
13632,Establishing the Hurricane Sandy Rebuilding Task Force,12/14/12,12/7/12,77 FR 74341, 2012-30310,,https://www.federalregister.gov/articles/2012/12/14/2012-30310/establishing-the-hurricane-sandy-rebuilding-task-force,
13633,"Closing of Executive Departments and Agencies of the Federal Government on Monday, December 24, 2012",12/28/12,12/21/12,77 FR 76339, 2012-31225,,https://www.federalregister.gov/articles/2012/12/28/2012-31225/closing-of-executive-departments-and-agencies-of-the-federal-government-on-monday-december-24-2012,
13634,Reestablishment of Advisory Commission,12/31/12,12/21/12,77 FR 77247, 2012-31574,,https://www.federalregister.gov/articles/2012/12/31/2012-31574/reestablishment-of-advisory-commission,
13635,Adjustments of Certain Rates of Pay,1/3/13,12/27/12,78 FR 649, 2013-00002,,https://www.federalregister.gov/articles/2013/01/03/2013-00002/adjustments-of-certain-rates-of-pay,
13636,Improving Critical Infrastructure Cybersecurity,2/19/13,2/12/13,78 FR 11737, 2013-03915,,https://www.federalregister.gov/articles/2013/02/19/2013-03915/improving-critical-infrastructure-cybersecurity,
13637,Administration of Reformed Export Controls,3/13/13,3/8/13,78 FR 16127, 2013-05967,,https://www.federalregister.gov/articles/2013/03/13/2013-05967/administration-of-reformed-export-controls,
13638,Amendments to Executive Order 12777,3/21/13,3/15/13,78 FR 17587, 2013-06712,,https://www.federalregister.gov/articles/2013/03/21/2013-06712/amendments-to-executive-order-12777,
13639,Establishment of the Presidential Commission on Election Administration,4/3/13,3/28/13,78 FR 19979, 2013-07837,,https://www.federalregister.gov/articles/2013/04/03/2013-07837/establishment-of-the-presidential-commission-on-election-administration,
13640,Continuance of Advisory Council,4/10/13,4/5/13,78 FR 21211, 2013-08501,,https://www.federalregister.gov/articles/2013/04/10/2013-08501/continuance-of-advisory-council,
13641,Adjustments of Certain Rates of Pay,4/11/13,4/5/13,78 FR 21503, 2013-08626,,https://www.federalregister.gov/articles/2013/04/11/2013-08626/adjustments-of-certain-rates-of-pay,
13642,Making Open and Machine Readable the New Default for Government Information,5/14/13,5/9/13,78 FR 28111, 2013-11533,,https://www.federalregister.gov/articles/2013/05/14/2013-11533/making-open-and-machine-readable-the-new-default-for-government-information,
13643,"2013 Amendments to the Manual for Courts-Martial, United States",5/21/13,5/15/13,78 FR 29559, 2013-12157,,https://www.federalregister.gov/articles/2013/05/21/2013-12157/2013-amendments-to-the-manual-for-courts-martial-united-states,3
13644,Amendment to Executive Order 13639,5/24/13,5/21/13,78 FR 31813, 2013-12650,,https://www.federalregister.gov/articles/2013/05/24/2013-12650/amendment-to-executive-order-13639,
13645,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Freedom and Counter- Proliferation Act of 2012 and Additional Sanctions With Respect To Iran,6/5/13,6/3/13,78 FR 33945, 2013-13523,,https://www.federalregister.gov/articles/2013/06/05/2013-13523/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-freedom-and-counter-,
13646,Establishing the President's Advisory Council on Financial Capability for Young Americans,6/28/13,6/25/13,78 FR 39157, 2013-15782,,https://www.federalregister.gov/articles/2013/06/28/2013-15782/establishing-the-presidents-advisory-council-on-financial-capability-for-young-americans,
13647,Establishing the White House Council on Native American Affairs,7/1/13,6/26/13,78 FR 39539, 2013-15942,,https://www.federalregister.gov/articles/2013/07/01/2013-15942/establishing-the-white-house-council-on-native-american-affairs,
13648,Combating Wildlife Trafficking,7/5/13,7/1/13,78 FR 40619, 2013-16387,,https://www.federalregister.gov/articles/2013/07/05/2013-16387/combating-wildlife-trafficking,
13649,Accelerating Improvements in HIV Prevention and Care in the United States Through the HIV Care Continuum Initiative,7/18/13,7/15/13,78 FR 43055, 2013-17478,,https://www.federalregister.gov/articles/2013/07/18/2013-17478/accelerating-improvements-in-hiv-prevention-and-care-in-the-united-states-through-the-hiv-care,
13650,Improving Chemical Facility Safety and Security,8/7/13,8/1/13,78 FR 48029, 2013-19220,,https://www.federalregister.gov/articles/2013/08/07/2013-19220/improving-chemical-facility-safety-and-security,
13651,Prohibiting Certain Imports of Burmese Jadeite and Rubies,8/9/13,8/6/13,78 FR 48791, 2013-19520,,https://www.federalregister.gov/articles/2013/08/09/2013-19520/prohibiting-certain-imports-of-burmese-jadeite-and-rubies,
15323,"Half-Day Closing of Executive Departments and Agencies on Thursday, December 24, 2009",12/16/09,12/11/09,74 FR 66563, E9-30020,"Federal Register correction page and date: 74 FR 67049, December 18, 2009",https://www.federalregister.gov/articles/2009/12/16/E9-30020/half-day-closing-of-executive-departments-and-agencies-on-thursday-december-24-2009,
